Date,Permian_Oil_Prod,Permian_Gas_Prod,Appalachia_Oil_Prod,Appalachia_Gas_Prod,Haynesville_Oil_Prod,Haynesville_Gas_Prod,WTI_Price,HH_Price
2010-01-01,886345,4410393,26000,1900803,52393,5786073,78.33,5.83
2010-02-01,906956,4488698,26000,2031823,53500,6079496,76.39,5.32
2010-03-01,907558,4455292,27000,2149410,55294,6494853,81.2,4.29
2010-04-01,901779,4468225,27000,2245632,53467,6586900,84.29,4.03
2010-05-01,910781,4480221,27000,2409260,52752,6789456,73.74,4.14
2010-06-01,904150,4371345,28000,2524767,51038,7154070,75.34,4.8
2010-07-01,917958,4386197,27000,2633468,49942,7385671,76.32,4.63
2010-08-01,923845,4358943,27000,2777484,50178,7608398,76.6,4.32
2010-09-01,931252,4341880,27000,2990808,49775,7775895,75.24,3.89
2010-10-01,950555,4373250,27000,3259881,49975,7856177,81.89,3.43
2010-11-01,964631,4363595,27000,3407891,51316,8227569,84.25,3.71
2010-12-01,972589,4336774,27000,3506867,51555,8526585,89.15,4.25
2011-01-01,979778,4250322,28000,3448636,50641,8652410,89.17,4.49
2011-02-01,902912,3839955,28000,3752066,50637,8783524,88.58,4.09
2011-03-01,992353,4338409,29000,4034098,51321,9366108,102.86,3.97
2011-04-01,989373,4229782,29000,4269627,49882,9591125,109.53,4.24
2011-05-01,1000520,4306849,29000,4496429,50659,9886386,100.9,4.31
2011-06-01,1001905,4314603,29000,4743609,48603,9758165,96.26,4.54
2011-07-01,1010371,4323691,28000,4532595,47824,9885841,97.3,4.42
2011-08-01,1029592,4273350,30000,4840476,47089,10141055,86.33,4.06
2011-09-01,1041809,4276711,28000,5171623,47006,10380316,85.52,3.9
2011-10-01,1064929,4254522,28000,5557754,47892,10396565,86.32,3.57
2011-11-01,1096429,4317062,28000,5901943,50272,10547997,97.16,3.24
2011-12-01,1096220,4250039,28000,6194063,54549,10418108,98.56,3.17
2012-01-01,1111037,4286097,31000,6041043,52665,10295306,100.27,2.67
2012-02-01,1126110,4293557,32000,6419382,53077,9913611,102.2,2.51
2012-03-01,1137442,4333725,32000,6766316,52672,9812703,106.16,2.17
2012-04-01,1154851,4387296,32000,7152491,52483,9809661,103.32,1.95
2012-05-01,1161690,4295221,32000,7551639,51447,9866303,94.66,2.43
2012-06-01,1170282,4320232,32000,7761235,50741,10032778,82.3,2.46
2012-07-01,1195229,4466591,33000,7569614,50982,10000894,87.9,2.95
2012-08-01,1204626,4482095,34000,7939012,51089,9965122,94.13,2.84
2012-09-01,1228303,4501054,33000,8248377,52281,9772117,94.51,2.85
2012-10-01,1249632,4556124,34000,8828226,53675,9436874,89.49,3.32
2012-11-01,1273037,4617412,36000,9112148,54621,9181112,86.53,3.54
2012-12-01,1266061,4546009,36000,9391784,53317,8884429,87.86,3.34
2013-01-01,1267581,4454336,40000,9278787,56209,8646966,94.76,3.33
2013-02-01,1291088,4613162,42000,9522336,57172,8549794,95.31,3.33
2013-03-01,1291849,4558788,44000,9991124,56462,8278325,92.94,3.81
2013-04-01,1329969,4824591,46000,10467545,56268,8155627,92.02,4.17
2013-05-01,1344700,4772838,50000,11090385,54446,8017486,94.51,4.04
2013-06-01,1342281,4858737,54000,11578479,53555,7842463,95.77,3.83
2013-07-01,1363842,4878557,67000,11281727,53175,7643142,104.67,3.62
2013-08-01,1379923,4953247,67000,11716410,53345,7374017,106.57,3.43
2013-09-01,1409301,5020165,64000,12121517,52193,6996605,106.29,3.62
2013-10-01,1432233,5059304,65000,12706948,54740,6898703,100.54,3.68
2013-11-01,1407258,4900231,68000,13439579,54337,6834845,93.86,3.64
2013-12-01,1444391,4893130,68000,13796789,54602,6739891,97.63,4.24
2014-01-01,1482810,5076559,73000,13664008,54119,6633412,94.62,4.71
2014-02-01,1512477,5134303,75000,14038886,55395,6608612,100.82,6.0
2014-03-01,1547344,5366811,75000,14440272,56167,6584828,100.8,4.9
2014-04-01,1570126,5464079,78000,14995510,55863,6644502,102.07,4.66
2014-05-01,1585257,5543510,80000,15586509,55472,6742728,102.18,4.58
2014-06-01,1590457,5660901,80000,16163101,56692,6710054,105.79,4.59
2014-07-01,1640090,5775384,89000,15370498,55904,6596875,103.59,4.05
2014-08-01,1679210,5934100,92000,15907260,56436,6632708,96.54,3.91
2014-09-01,1666983,5749213,97000,16594125,56958,6555426,93.21,3.92
2014-10-01,1740954,5946831,103000,17319409,57447,6507775,84.4,3.78
2014-11-01,1795478,5975312,107000,18103367,57577,6355121,75.79,4.12
2014-12-01,1804452,6038530,108000,18876196,57671,6354180,59.29,3.48
2015-01-01,1701349,5517838,110000,18841634,56812,6323080,47.22,2.99
2015-02-01,1815179,6021655,115000,18973061,56113,6398277,50.58,2.87
2015-03-01,1891545,6223901,115000,19264241,55537,6419409,47.82,2.83
2015-04-01,1917905,6453592,131000,19253110,54488,6432928,54.45,2.61
2015-05-01,1910883,6555324,131000,19058785,52334,6327320,59.27,2.85
2015-06-01,1900678,6736026,131000,18998033,52518,6205831,59.82,2.78
2015-07-01,1875182,6625765,130000,19310747,51304,6207582,50.9,2.84
2015-08-01,1915387,6810384,127000,19811976,50253,6148831,42.87,2.77
2015-09-01,1937719,6860344,125000,20004645,50608,6090650,45.48,2.66
2015-10-01,1927285,6750814,128000,19896584,49531,6013035,46.22,2.34
2015-11-01,1966419,6839820,125000,20400033,50093,6086151,42.44,2.09
2015-12-01,1852873,6327163,130000,21044442,50389,5968873,37.19,1.93
2016-01-01,1932943,6377512,109000,21837746,50127,6062961,31.68,2.28
2016-02-01,1972166,6659487,108000,22412627,48891,6023770,30.32,1.99
2016-03-01,1986606,6784589,107000,22016841,46329,5738364,37.55,1.73
2016-04-01,1991898,6866381,102000,21847461,46080,5993555,40.75,1.92
2016-05-01,1991369,6919453,102000,21868815,44841,5972179,46.71,1.92
2016-06-01,2001833,7067000,100000,21923086,43688,5918555,48.76,2.59
2016-07-01,2035067,7209047,93000,22081966,43062,5992122,44.65,2.82
2016-08-01,2054942,7304144,93000,22391821,43379,5882781,44.72,2.82
2016-09-01,2044607,7284473,91000,22035439,43646,5870177,45.18,2.99
2016-10-01,2095148,7327972,85000,21385045,44442,5838857,49.78,2.98
2016-11-01,2116727,7322070,87000,22521322,44540,5796447,45.66,2.55
2016-12-01,2121079,7150989,86000,23051432,44220,5761895,51.97,3.59
2017-01-01,2149541,7259851,92000,23235761,44475,5801943,52.5,3.3
2017-02-01,2254689,7654090,92000,23297009,45370,5885691,53.47,2.85
2017-03-01,2274596,7767610,91000,23407358,44173,6003045,49.33,2.88
2017-04-01,2301838,7886988,92000,23452210,43650,5990385,51.06,3.1
2017-05-01,2394506,8245389,93000,23605011,42049,6118346,48.48,3.15
2017-06-01,2416666,8249857,93000,23966645,42354,6405579,45.18,2.98
2017-07-01,2449439,8492882,99000,24321145,41925,6535273,46.63,2.98
2017-08-01,2496166,8565593,99000,24436170,41617,6716303,48.04,2.9
2017-09-01,2600673,8749884,98000,24861317,42526,7085794,49.82,2.98
2017-10-01,2739795,9137926,103000,24560177,42212,7295773,51.58,2.88
2017-11-01,2832660,9323017,105000,26354535,42345,7687957,56.64,3.01
2017-12-01,2887347,9231199,102000,27113774,42671,7826200,57.88,2.82
2018-01-01,2884004,9050555,99000,26725285,41863,7690653,63.7,3.87
2018-02-01,3054122,9757768,99000,27246602,42851,8028416,62.23,2.67
2018-03-01,3213639,10211959,100000,27279533,42008,8363485,62.73,2.69
2018-04-01,3272595,10489411,106000,27027143,41725,8546807,66.25,2.8
2018-05-01,3290946,10719475,105000,27288318,42079,8952883,69.98,2.8
2018-06-01,3401605,11016026,106000,27759535,40929,9173787,67.87,2.97
2018-07-01,3481474,11420792,119000,28282349,40417,9324169,70.98,2.83
2018-08-01,3665024,11928708,125000,29146442,40955,9507485,68.06,2.96
2018-09-01,3752873,12126346,128000,30116684,40348,9676663,70.23,3.0
2018-10-01,3864540,12211233,134000,30510233,40976,10060176,70.75,3.28
2018-11-01,3943310,12480586,127000,31262728,41953,10067887,56.96,4.09
2018-12-01,4001725,12977745,126000,31546460,41840,10093241,49.52,4.04
2019-01-01,3978061,13057167,124000,30874728,43057,10388658,51.38,3.11
2019-02-01,4063956,13513815,118000,31132770,42981,10775628,54.95,2.69
2019-03-01,4106158,13675244,114000,31272894,42044,10827718,58.15,2.95
2019-04-01,4189144,13642906,130000,30853485,40939,11061018,63.86,2.65
2019-05-01,4265974,14060532,130000,31080053,38419,11248503,60.83,2.64
2019-06-01,4283339,14296680,133000,31674961,39789,11314225,54.66,2.4
2019-07-01,4346901,14572577,153000,31789224,40442,11582141,57.35,2.37
2019-08-01,4468903,15228233,157000,32404571,39789,11610169,54.81,2.22
2019-09-01,4553607,15746359,160000,32841073,40317,11525402,56.95,2.56
2019-10-01,4637986,15865988,159000,32950894,40146,11656216,53.96,2.33
2019-11-01,4768062,16268832,155000,34109705,40684,11789272,57.03,2.65
2019-12-01,4801409,16403566,152000,33932487,41579,11928035,59.88,2.22
2020-01-01,4837214,16622236,146000,32618056,41872,11707119,57.52,2.02
2020-02-01,4820257,16509376,146000,33110450,41255,11785388,50.54,1.91
2020-03-01,4915111,16847949,136000,33072957,40319,12009392,29.21,1.79
2020-04-01,4613617,16074913,125000,32485051,36101,11990682,16.55,1.74
2020-05-01,3957275,14486981,123000,32348709,29654,12204762,28.56,1.75
2020-06-01,4314468,15796966,128000,32348599,34012,11874584,38.31,1.63
2020-07-01,4378565,16464549,130000,32915389,33609,11468046,40.71,1.76
2020-08-01,4321206,16719882,138000,33212201,32946,11399813,42.34,2.3
2020-09-01,4310955,16747785,146000,32929201,33658,11533672,39.63,1.92
2020-10-01,4361410,16773714,130000,32810121,33635,11579464,39.4,2.39
2020-11-01,4401784,16874488,128000,34063027,34313,12159788,40.94,2.61
2020-12-01,4376318,16546130,128000,34948224,34840,12389685,47.02,2.58
2021-01-01,4439680,16739409,127000,34323863,34190,12510138,52.0,2.71
2021-02-01,3683134,13668082,123000,34217446,28965,11143559,59.04,5.35
2021-03-01,4610062,16852649,128000,34247211,34228,12819796,62.33,2.62
2021-04-01,4633995,17996875,127000,33777295,33796,12942634,61.72,2.66
2021-05-01,4698533,17757162,125000,33989673,32653,12928510,65.17,2.91
2021-06-01,4724618,17883000,122000,34252065,32596,13186212,71.38,3.26
2021-07-01,4796876,18375646,111000,33700491,32506,13625387,72.49,3.84
2021-08-01,4925791,18661894,116000,34571080,32100,13504655,67.73,4.07
2021-09-01,4996858,19393309,117000,34582420,33699,13872792,71.65,5.16
2021-10-01,5075257,19690467,107000,34772357,35083,14062733,81.48,5.51
2021-11-01,5136346,19796900,107000,35417580,36602,14516026,79.15,5.05
2021-12-01,5108047,19433302,104000,36031593,36770,14681087,71.71,3.76
2022-01-01,5034687,18838299,105000,34596722,35950,14509371,83.22,4.38
2022-02-01,5045344,19018842,105000,34161258,36611,14590024,91.64,4.69
2022-03-01,5258301,20161212,110000,34261425,38037,14481500,108.5,4.9
2022-04-01,5315849,20563451,117000,34005289,37496,14985816,101.78,6.6
2022-05-01,5281546,20546833,115000,34512767,36001,15355596,109.55,8.14
2022-06-01,5276614,20370691,112000,34734775,35225,15308892,114.84,7.7
2022-07-01,5380163,20818843,117000,34820230,34842,15397173,101.62,7.28
2022-08-01,5483690,21095643,114000,34833058,35764,15621544,93.67,8.81
2022-09-01,5631444,21696341,114000,35009415,36623,16039054,84.26,7.88
2022-10-01,5676657,21692273,122000,34423846,35887,16413410,87.55,5.66
2022-11-01,5709354,21586799,127000,34898141,35219,16449398,84.37,5.45
2022-12-01,5691602,21418109,122000,34789682,33514,16271585,76.44,5.53
2023-01-01,5796341,21871587,144000,35216640,35644,16424212,78.12,3.27
2023-02-01,5719679,21832994,152000,35009390,35762,16887547,76.83,2.38
2023-03-01,5875542,22882227,152000,35251783,35257,16642304,73.28,2.31
2023-04-01,5871333,23048039,153000,35465922,34590,16678925,79.45,2.16
2023-05-01,5841500,23010462,155000,35751122,34588,17235960,71.58,2.15
2023-06-01,5756561,22681938,148000,35816168,31393,16469354,70.25,2.18
2023-07-01,5852070,23115369,137000,35905230,32112,16614628,76.07,2.55
2023-08-01,5936711,23604200,139000,36363552,32181,16619791,81.39,2.58
2023-09-01,5927455,24009780,144000,35835181,31310,16535150,89.43,2.64
2023-10-01,6059883,24036225,157000,35904230,32821,16380143,85.64,2.98
2023-11-01,6174728,24670673,161000,37083058,32891,16692304,77.69,2.71
2023-12-01,6216294,25157353,152000,37161113,33700,15466944,71.9,2.52
2024-01-01,5977682,23996429,150000,36411586,32374,15189640,74.15,3.18
2024-02-01,6157509,24851709,138000,36436818,32886,16039789,77.25,1.72
2024-03-01,6152235,24976757,136929,36238957,32829,15966494,81.28,1.49
2024-04-01,6157013,25111388,136340,36097450,32696,15815876,85.35,1.6
2024-05-01,6168529,25250453,135827,35967317,32493,15605874,80.02,2.12
2024-06-01,6186501,25393228,134915,35791063,32222,15338978,79.77,2.54
